file,id,type,speaker,status,jp,en
101_1_1.json,2,Chapter name,,mt,プロローグ,Prologue
101_1_1.json,20,Dialog,,ai,プロローグをスキップしますか？,Skip the prologue?
101_1_1.json,21,Choice,,ai,はい,Yes
101_1_1.json,22,Choice,,ai,いいえ,No
101_1_1.json,30,Dialog,,ai,――さて、と。,"--Well, then."
101_1_1.json,39,Chapter name,,mt,プロローグ,Prologue
101_1_1.json,41,Dialog,,ai,　　　　　　この私立桜蘭学院は,"This private school,
Ouran Academy,"
101_1_1.json,43,Dialog,,ai,　　　　　　一に家柄、二にお金,"values pedigree first
and money second."
101_1_1.json,45,Dialog,,ai,　　　　　そのどちらも兼ね備えた,For the sons and daughters
101_1_1.json,47,Dialog,,ai,　　　 資産家の子息、息女たちの集う,"of wealthy families
blessed with both,"
101_1_1.json,49,Dialog,,ai,　　　　　　超金持ち学校である,"it is a school for
the ultra-rich."
101_1_1.json,51,Dialog,,ai,　　　　 その学院の南校舎、最上階,"South wing, top floor,"
101_1_1.json,53,Dialog,,ai,　　　　　　北側廊下つきあたり,"at the end of the
north hallway--"
101_1_1.json,55,Dialog,,ai,　　　　　　未使用無人の音楽室,"an unused, empty
music room."
101_1_1.json,57,Dialog,,ai,　　　　　扉を開けるとそこは――,"Open the door,
and there--"
101_1_1.json,61,Dialog,Everyone,ai,「いらっしゃいませ」,Welcome!
101_1_1.json,63,Dialog,Everyone,ai,そこは、ホスト部でした。,It was the Host Club.
101_1_1.json,67,Dialog,Everyone,ai,桜の咲き誇る季節も終わって、今度は新緑の季,"The season of cherry blossoms had
ended, and"
101_1_1.json,68,Dialog,,ai,節へと様変わりし始めた春の頃。,"spring was giving way to fresh green
leaves."
101_1_1.json,70,Dialog,,ai,今日もホスト部は、たくさんのお客さんで賑,The Host Club is packed
101_1_1.json,71,Dialog,,ai,（にぎ）わっている。,with guests again today.
101_1_1.json,72,Dialog,,ai,ここに出入りしている人たちは、由緒正しきお,"The people who frequent this place
are all"
101_1_1.json,73,Dialog,,ai,嬢様方。,"proper young ladies from good
families."
101_1_1.json,74,Dialog,,ai,そのお嬢様――、お客さんたちをもてなし、う,"And entertaining those young
ladies--keeping them happy--is"
101_1_1.json,75,Dialog,,ai,るおわすのが、桜蘭高校ホスト部の部員たち。,"the job of the Ouran High School
Host Club."
101_1_1.json,76,Dialog,,ai,テーブルのところでお客さんの相手をしている,"The one charming guests at that
table"
101_1_1.json,77,Dialog,,ai,人が、桜蘭高校でホスト部を立ち上げた、２年,"is Tamaki Suoh, the second-year who"
101_1_1.json,78,Dialog,,ai,の須王環（すおうたまき）先輩。,founded the Host Club here at Ouran.
101_1_1.json,79,Dialog,,ai,ホスト部へ来るお客さんの７割は、環先輩が目,"Apparently seven out of ten guests
come"
101_1_1.json,80,Dialog,,ai,当てらしい。,to this club just for Tamaki-senpai.
101_1_1.json,90,Dialog,Tamaki,ai,「ああ、姫のいつもと変わらぬ美しさに、,"Ah, princess... Your beauty never
changes,"
101_1_1.json,91,Dialog,Tamaki,ai,僕の心はいつも熱く、激しく揺さぶられて,"and yet it never fails to set my
heart"
101_1_1.json,92,Dialog,Tamaki,ai,います……」,ablaze and shake me to my core...
101_1_1.json,94,Dialog,Tamaki,ai,いつもこんな感じで接客をしている。,"That's how he entertains his guests.
Always."
101_1_1.json,96,Dialog,Tamaki,ai,あそこでにこやかにお客さんを案内している人,"The one over there graciously
showing guests to their"
101_1_1.json,97,Dialog,,ai,が、２年の鳳鏡夜（おおとりきょうや）先輩。,"seats is Kyoya Ootori, another
second-year."
101_1_1.json,105,Dialog,Kyoya,ai,「いらっしゃいませ」,Welcome.
101_1_1.json,106,Dialog,Kyoya,ai,経営というか運営の部分で、ホスト部を取り仕,He runs the Host Club--the business
101_1_1.json,107,Dialog,Kyoya,ai,切っている。,"side of things, you could say."
101_1_1.json,110,Dialog,Kyoya,ai,向こうにいる見た目がそっくりな２人。自分と,"Those two over there who look
exactly"
101_1_1.json,111,Dialog,Kyoya,ai,同じ学年でクラスメイトの常陸院光（ひたちい,"alike are Hikaru and Kaoru
Hitachiin."
101_1_1.json,112,Dialog,,ai,んひかる）と常陸院馨（ひたちいんかおる）。,"They're first-years, in my class."
101_1_1.json,124,Dialog,Hikaru,ai,「馨ってば、僕と一緒のベッドじゃないって聞,"Kaoru, when I heard you wouldn't be"
101_1_1.json,125,Dialog,Hikaru,ai,いたらさー」,sharing a bed with me anymore...
101_1_1.json,135,Dialog,Kaoru,ai,「ひどいよ光……。それは誰にも言わないでっ,"Hikaru, that's awful... You promised"
101_1_1.json,136,Dialog,Kaoru,ai,て……」,not to tell anyone...
101_1_1.json,137,Dialog,Kaoru,ai,自分には理解できないけど、兄弟愛っていう設,"I don't really get it myself, but
that ""brotherly"
101_1_1.json,138,Dialog,Kaoru,ai,定がうけているらしい……。,"love"" act of theirs is a big hit..."
101_1_1.json,140,Dialog,Kaoru,ai,そうそう。２人は、髪型で区別しないとわから,"Oh, right. A lot of people say they
can't tell"
101_1_1.json,141,Dialog,Kaoru,ai,ないって言う人が多い。,"those two apart without checking
their hair."
