file	id	type	kind	limit_width	limit_lines	line_count	max_line_len	reasons	jp	en
101_1_1.json	1107,1108,1109	Dialog group	dialog-display	32	3	4	50	display-too-many-lines:4>3;display-line-too-wide:267px>224px	【見つめる】という行動は高度なテクニックで、相手の気持ちを理解していないと大失敗するということらしい。	"Apparently ""gazing"" is an advanced
technique--getit wrong when you don't understand a
guest'sfeelings, and it backfires
spectacularly."
101_1_1.json	1377,1378	Dialog group	dialog-display	32	3	3	43	display-line-too-wide:230px>224px	あいまいに答えながら、ハニー先輩から教わった内容を思い返してみるけど――。	"As I gave my vague answer, I tried
to go backover what Honey-senpai had taught
me, but--"
101_1_1.json	1379,1380,1381	Dialog group	dialog-display	32	3	1	101	display-line-too-wide:545px>224px	甘くておいしいケーキを食べれば、みんなしあわせだってことと、どのケーキがおいしいのかしか思い出せない。	All I could remember was that sweet,yummy cake makes everyone happy--andwhich cakes are the yummiest.
101_1_1.json	1619,1620	Dialog group	dialog-display	32	3	3	66	display-line-too-wide:361px>224px	話は大きく、勉強・雑学・食・運動・娯楽・健康の６種類に分けられるって言われても――。	"So conversation topics split into
six broad types--study, trivia,food, sports, fun, and health. Easy
for him to say--"
101_1_1.json	1810,1811,1812	Dialog group	dialog-display	32	3	2	56	display-line-too-wide:287px>224px	いったいなんの話で盛り上がってるんだか、具体的にはわからないけど。庶民の技ってところがヒントだとすれば――。	"I have no clue what exactly hasthem so worked up. But if
""commoner'stechnique"" is any hint--"
101_1_1.json	1869,1870,1871	Dialog group	dialog-display	32	3	1	104	display-line-too-wide:554px>224px	「庶民の知恵もなかなかあなどりがたいものだな。うむ、これは加藤家の食卓を見直す必要がありそうだぞ」	The wisdom of commoners is not to beunderestimated. Hmm... I may needto rethink the family dinner table.
101_1_1.json	1920,1921	Dialog group	dialog-display	32	3	3	50	display-line-too-wide:265px>224px	「俺が話していたのは、カップ焼きそばを作るとき、かやくを底に入れることにより――」	"What I was explaining was that when
preparing instantyakisoba, placing the toppings at
the bottom--"
101_1_1.json	1996,1997,1998	Dialog group	dialog-display	32	3	4	51	display-too-many-lines:4>3;display-line-too-wide:276px>224px	いったいなんの話なのかな？　近づいてきてることで、日々の成果が試されること。それが話題を指しているんだから――。	"What on earth are they talking
about? Somethingcoming up soon, where daily efforts
getput to the test... So the topic must
be--"
101_1_1.json	2164,2165,2166	Dialog group	dialog-display	32	3	3	53	display-line-too-wide:277px>224px	れんげちゃんは、好きなゲームに登場するキャラクターのミヤビ君にそっくりな鏡夜先輩にひと目ぼれして――。	"Renge-chan fell in love at first
sight with Kyoya-senpai,because he looks exactly like
Miyabi-kun,a character from her favorite game--"
101_1_1.json	3099,3100	Dialog group	dialog-display	32	3	3	54	display-line-too-wide:292px>224px	「あのね、上級生には見えないかもしれないけど、こちらが埴之塚光邦先輩。それから――」	"He may not look like an
upperclassman, butthis is Mitsukuni Haninozuka-senpai.
And--"
101_1_1.json	3133,3134,3135	Dialog group	dialog-display	32	3	4	51	display-too-many-lines:4>3;display-line-too-wide:268px>224px	「失礼ですが、姫宮さんとハルヒが友人になっている時期を考えると……。性別やホストという立場に対して……」	"Forgive me for asking, Himemiya-san,
but... consideringwhen you and Haruhi became
friends--regardingthe matter of sex, and of being a
host..."
101_1_1.json	3148,3149,3150	Dialog group	dialog-display	32	3	3	51	display-line-too-wide:270px>224px	「きれいな髪を切っていることにも驚きましたけど、そんなことよりも女の子だったはずのハルちゃんが――」	"The fact that you cut that beautiful
hairsurprised me too, but never mind
that--Haru-chan,you're supposed to be a girl, and--"
101_1_1.json	3321,3322,3323	Dialog group	dialog-display	32	3	3	85	display-line-too-wide:459px>224px	父親に連れられて出席する、知らない人ばかりのパーティーの数々。勝手もわからず、出るのはため息ばかり。	"Party after party on her father's
arm, surroundedby strangers. Never knowing what todo with herself, sighing the nights
away."
101_1_1.json	3396,3397,3398	Dialog group	dialog-display	32	3	2	81	display-line-too-wide:426px>224px	「俺と鏡夜、光と馨、ハニー先輩とモリ先輩でペアを組み、小百合姫の恋をプロデュースするのだ！」	"Kyoya and I, Hikaru and Kaoru,
Honey-senpaiand Mori-senpai--in pairs, we shallproduce Princess Sayuri's romance!"
104_1_4.json	1501,1502,1503	Dialog group	dialog-display	32	3	1	91	display-line-too-wide:476px>224px	真嶋君は袋のなかからパンを取り出すと、皿に載せた。そこへ水をかけて、やわらかくしている。	Majima-kun took bread from thebag, put it on a plate, and pouredwater over it to soften it.
104_1_4.json	3450,3451,3452	Dialog group	dialog-display	32	3	1	104	display-line-too-wide:541px>224px	考えたことなかったけど、自分もいつか小百合みたいに、誰かのことを想ってあんなふうになることが――。	I never thought about it before, butsomeday, could I end up like Sayuri,feeling that way about someone--
105_2_1.json	383,384,385	Dialog group	dialog-display	32	3	2	61	display-line-too-wide:327px>224px	「自分は、掃除や洗濯……。それからちょっと遠くのスーパーまで買い物に行ったりするくらいですね」	"For me, cleaning and laundry...Then maybe going shopping at a
supermarketa little farther away."
105_2_1.json	1396,1397,1398	Dialog group	dialog-display	32	3	4	38	display-too-many-lines:4>3	明日は駄菓子のお祭りかあ……。テーブルに駄菓子を並べて食べるだけですめばいいんだけど……。	"Tomorrow is a cheap sweets festival,
huh...I hope all we have to do is line
cheapsweets up on the table and eat
them..."
106_2_2.json	490,491	Dialog group	dialog-display	32	3	3	53	display-line-too-wide:280px>224px	上賀茂さんの前には、『運勢占いつきのはっぴーラムネ』と、『めざし粉末入りのめざしチョコ』	"In front of Kamikamo-san are Happy
Ramune with a fortuneand Mezashi Chocolate with dried
sardine powder"
106_2_2.json	1016,1017,1018	Dialog group	dialog-display	32	3	4	38	display-too-many-lines:4>3	……怪我も心配だけど、それよりもハニー先輩の雰囲気が危うい感じになってきているような……。	"...I am worried about him getting
hurttoo, but more than that,
Honey-senpai'saura is starting to feel
dangerous..."
107_2_3.json	739,740	Dialog group	dialog-display	32	3	3	49	display-line-too-wide:261px>224px	昨日まで和室だったのに一晩で元に戻ってるんだから、すごいっていうかなんていうか。	"It was a Japanese-style room until
yesterday, and nowit is back to normal overnight.
Amazing, or something."
108_2_4.json	961,962	Dialog group	dialog-display	32	3	3	58	display-line-too-wide:296px>224px	先輩の買ってきたカップラーメンの種類はバラバラだ。微妙に作り方がちがうんだよね……。	"The cup ramen Tamaki-senpai bought
is all different types.The instructions vary a little from
one to another..."
108_2_4.json	1155,1156	Dialog group	dialog-display	32	3	3	63	display-line-too-wide:341px>224px	額の汗を自分がハンカチでぬぐってあげると、鏡夜先輩は少し照れた様子で続けた。	"When I wiped the sweat from his
forehead with my handkerchief,Kyoya-senpai continued, looking a
little embarrassed."
108_2_4.json	1685,1686,1687	Dialog group	dialog-display	32	3	4	47	display-too-many-lines:4>3;display-line-too-wide:250px>224px	「……しかし何かあってからでは遅い……。藤岡君、この身代わりにもなるベルゼネフをお持ちなさい……」	"...But once something happens, it
will be toolate... Fujioka-kun, take this
Belzenef, whocan also serve as a substitute for
you..."
108_2_4.json	1706,1707,1708	Dialog group	dialog-display	32	3	2	76	display-line-too-wide:412px>224px	「……不安なのでしょう……。藤岡君、この身代わりにもなる、ベルゼネフをお持ちなさい……」	"...You must be uneasy...
Fujioka-kun,take this Belzenef, who can alsoserve as a substitute for you..."
109_2_5.json	863,864,865	Dialog group	dialog-display	32	3	3	44	display-line-too-wide:229px>224px	「俺たちが騒ぎ立てる事でもないだろう。それに、ハルヒにも【いちおう】プライバシーというものがある」	"This is hardly something for us to
makea fuss about. Besides, Haruhi
technicallydoes have a thing called privacy."
109_2_5.json	917,918,919	Dialog group	dialog-display	32	3	3	49	display-line-too-wide:262px>224px	何を言ってもムダなことは分かってるから、諦めて封筒の手紙を取り出して広げるそこに書かれていたものは――。	"I knew saying anything would be
pointless,so I gave up, took the letter out of
the envelope,and unfolded it. Written there was--"
